index	kind	Vorov	PDlocal
0	0	0.000000000000000	inf
1	0	0.000000000000000	inf
2	0	0.000000000000000	inf
3	0	0.000000000000000	inf
4	0	0.000000000000000	inf
5	0	0.000000000000000	inf
6	0	0.000000000000000	inf
7	0	0.000000000000000	inf
8	0	0.000000000000000	inf
9	0	0.530196924137020	1.886091666087388
10	0	0.000000000000000	inf
11	0	0.000000000000000	inf
12	0	0.000000000000000	inf
13	0	0.000000000000000	inf
14	0	0.000000000000000	inf
15	0	0.000000000000000	inf
16	0	0.000000000000000	inf
17	0	0.000000000000000	inf
18	0	0.000000000000000	inf
19	0	0.000000000000000	inf
20	0	0.000000000000000	inf
21	0	0.000000000000000	inf
22	0	0.000000000000000	inf
23	0	0.000000000000000	inf
24	0	0.000000000000000	inf
25	0	0.000000000000000	inf
26	0	0.000000000000000	inf
27	0	0.000000000000000	inf
28	0	0.000000000000000	inf
29	0	0.000000000000000	inf
30	0	0.000000000000000	inf
31	0	0.000000000000000	inf
32	0	0.000000000000000	inf
33	0	0.000000000000000	inf
34	0	0.000000000000000	inf
35	0	0.000000000000000	inf
36	0	0.000000000000000	inf
37	0	0.000000000000000	inf
38	0	0.000000000000000	inf
39	0	0.000000000000000	inf
40	0	0.000000000000000	inf
41	0	0.000000000000000	inf
42	0	0.000000000000000	inf
43	0	0.000000000000000	inf
44	0	0.000000000000000	inf
45	0	0.000000000000000	inf
46	0	0.000000000000000	inf
47	0	0.000000000000000	inf
48	0	0.000000000000000	inf
49	0	0.000000000000000	inf
50	0	0.000000000000000	inf
51	0	0.546069370213283	1.831269165691203
52	0	0.000000000000000	inf
53	0	0.000000000000000	inf
54	0	0.000000000000000	inf
55	0	0.000000000000000	inf
56	0	0.000000000000000	inf
57	0	0.000000000000000	inf
58	0	0.000000000000000	inf
59	0	0.000000000000000	inf
60	0	0.000000000000000	inf
61	0	0.000000000000000	inf
62	0	0.000000000000000	inf
63	0	0.000000000000000	inf
64	0	0.000000000000000	inf
65	0	0.000000000000000	inf
66	0	0.000000000000000	inf
67	0	0.000000000000000	inf
68	0	0.000000000000000	inf
69	0	0.000000000000000	inf
70	0	0.000000000000000	inf
71	0	0.000000000000000	inf
72	0	0.000000000000000	inf
73	0	0.000000000000000	inf
74	0	0.000000000000000	inf
75	0	0.000000000000000	inf
76	0	0.000000000000000	inf
77	0	0.000000000000000	inf
78	0	0.000000000000000	inf
79	0	0.000000000000000	inf
80	0	0.000000000000000	inf
81	0	0.000000000000000	inf
82	0	0.000000000000000	inf
83	0	0.000000000000000	inf
84	0	0.000000000000000	inf
85	0	0.000000000000000	inf
86	0	0.000000000000000	inf
87	0	0.000000000000000	inf
88	0	0.000000000000000	inf
89	0	0.104291624386549	9.588497694633398
90	0	0.000000000000000	inf
91	0	0.000000000000000	inf
92	0	0.000000000000000	inf
93	0	0.000000000000000	inf
94	0	0.000000000000000	inf
95	0	0.000000000000000	inf
96	0	0.000000000000000	inf
97	0	0.000000000000000	inf
98	0	0.000000000000000	inf
99	0	0.000000000000000	inf
100	0	0.000000000000000	inf
101	0	0.000000000000000	inf
102	0	0.000000000000000	inf
103	0	0.000000000000000	inf
104	0	0.000000000000000	inf
105	0	0.017013631280507	58.776400141323350
106	0	0.000000000000000	inf
107	0	0.000000000000000	inf
